index,question,input,answer,qa_id
11,"Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?","Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?","Neither  Franchisee  nor any of its Owners shall divert or attempt to divert any business or any customers of any Pretzel Time Unit to any  Competitive  Business or employ or seek to employ any  person who is  employed  by Pretzel  Time,  its Affiliates  or a franchisee  of Pretzel Time nor induce or attempt to induce any such person to leave said  employment  without the prior written consent of such person's employer.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__No-Solicit Of Customers
12,"What is This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.?","Highlight the parts (if any) of this contract related to ""Competitive Restriction Exception"" that should be reviewed by a lawyer. Details: This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.","Notwithstanding the foregoing,  Franchisee shall not be prohibited from owning securities  listed on a stock exchange or traded on the  over-the-counter market that represents two percent (2%) or less of that class of securities., This non-compete provision may not be enforceable under the laws of your state., The  restrictions  of this Section  shall not be  applicable to the ownership of shares  of a class of  securities  listed on a stock  exchange  or traded on the over-the-counter market that represent two percent (2%) or less of the number of shares of that class of  securities  issued  and  outstanding.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Competitive Restriction Exception
13,"Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?","Highlight the parts (if any) of this contract related to ""No-Solicit Of Employees"" that should be reviewed by a lawyer. Details: Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?","Franchisee  therefore agrees that  during the term of the  Franchise  Agreement,  or the period of time which Franchisee operates a Unit under this Agreement,  whichever is shorter,  neither Franchisee  nor  any  Affiliate,  immediate  family  member,  or  in  the  event Franchisee is a corporation

any Owner thereof and member of his immediate  family or in the event  Franchise is a partnership any partner  (general or limited) thereof and any member of his immediate family, shall:, (2) Recruit or hire any employee who, within the immediately  preceding          six (6) month period,  was employed by Pretzel Time or any Pretzel Time          Unit operated by Pretzel Time, its Affiliates or another  franchisee or          licensee  of  Pretzel  Time,   without   obtaining  the  prior  written          permission of Pretzel Time or such franchisee., Neither  Franchisee  nor any of its Owners shall divert or attempt to divert any business or any customers of any Pretzel Time Unit to any  Competitive  Business or employ or seek to employ any  person who is  employed  by Pretzel  Time,  its Affiliates  or a franchisee  of Pretzel Time nor induce or attempt to induce any such person to leave said  employment  without the prior written consent of such person's employer.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__No-Solicit Of Employees
14,Is there a requirement on a party not to disparage the counterparty?,"Highlight the parts (if any) of this contract related to ""Non-Disparagement"" that should be reviewed by a lawyer. Details: Is there a requirement on a party not to disparage the counterparty?",Franchisee  agrees to refrain from any business or advertising  practice which may be injurious to the business of Pretzel Time and the goodwill associated with the Marks and other Pretzel Time Units.,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Non-Disparagement
15,Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?,"Highlight the parts (if any) of this contract related to ""Termination For Convenience"" that should be reviewed by a lawyer. Details: Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?","Pretzel  Time  reserves  the right to  suspend  contributions/fees  and operations of the  Advertising  Fund for one or more  periods,  and the right to terminate the  Advertising  Fund, upon thirty (30) days' prior written notice to Franchisee.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Termination For Convenience
16,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","If  Pretzel  Time  does not  exercise  its  right  of  first  refusal, Franchisee or its Owners may complete the sale to such purchaser pursuant to and on the exact  terms of such  offer,  subject to Pretzel  Time's  approval of the Transfer as provided in Section 17,  provided that if the sale to such purchaser is not completed  within 120 days after  delivery of such offer to Pretzel Time, or if there is a  material  change  in the terms of the sale  (which  Franchisee shall  promptly  communicate  to Pretzel  Time),  Pretzel  Time's right to first refusal shall be extended for thirty (30) days after the  expiration of such 120 day period or after the material change in the terms of the sale so communicated to Pretzel Time., The  purchase  price  shall be paid in cash at the  closing  of the purchase, which shall take place no later than ninety (90) days after receipt by Franchisee  of Pretzel  Time's notice of exercise of this option to purchase the Unit, at which time Franchisee shall deliver instruments transferring to Pretzel Time or its assignee good and merchantable  title to the assets purchased,  free and clear of all liens and encumbrances  with all sales and other transfer taxes paid by  Franchisee,  and all  licenses  or  permits  of the Unit  which  may be assigned or transferred., Pretzel  Time  shall  have the right,  exercisable  by written  notice delivered to Franchisee  (or its Owners) within sixty (60) days from the date of delivery  of an exact copy of such  offer to  Pretzel  Time,  to  purchase  such interest for the price and on the terms and conditions  contained in such offer, provided that Pretzel Time may substitute cash for any form of payment  proposed in such offer,  Pretzel Time's credit shall be deemed equal to the credit of any proposed  purchaser and Pretzel Time shall have not less than sixty (60) days to prepare  for  closing., If Pretzel Time exercises its right of first refusal,  Franchisee  (and its Owners)  agrees that,  for a period of twelve (12) months  commencing on the date of the closing,  neither  Franchisee (nor its Owners) shall have any direct or indirect interest  (through a member of the immediate  families of Franchisee or its Owners of  otherwise)  as a  disclosed  or  beneficial  owner,  investor, partner, director, officer, employee, consultant, representative, or agent or in any other capacity in any Competitive Business located or operating within three (3) miles of the Unit,  and/or  three (3) miles of any other  Pretzel Time Unit., If Pretzel Time or its assignee  exercises this option to purchase, pending  the  closing of such  purchase,  Pretzel  Time may appoint a manager to maintain the operation of the Unit, at its option,  require  Franchisee to close the Unit during such time period  without  removing any asset, In the event the closing of the purchase does not occur within said ninety (90) day period because Franchisee fails to act diligently in connection therewith,  the purchase price shall be reduced by ten percent (10%)., If Pretzel  Time exercises its right of first refusal, Franchisee (and its Owners) further agrees that he will abide by the restrictions of Section 17.C.(13)., Franchisee  further agrees that the purchase  price shall be further  reduced by ten percent (10%) per month for each subsequent  month  Franchisee  fails to act diligently to consummate this  transaction.  In the event that Franchisee cannot deliver clear title to all of the purchased assets as aforesaid, or in the event there are other unresolved  issues, at Pretzel Time's option,  the losing of the sale shall be accomplished through an escrow., Upon  termination of this Agreement by Pretzel Time in accordance  with its terms and  conditions or by Franchisee  without cause or upon  expiration of this  Agreement  (unless the franchise  has been  renewed),  Pretzel  Time,  its Affiliates  or  its  assignee  shall  have  the  option  (not  the  obligation), exercisable  by giving  written  notice  thereof within sixty (60) days from the date of such  expiration  or  termination,  to acquire from  Franchisee  all the assets  in the Unit  including  the  equipment,  furnishings,  signs,  leasehold improvements,  usable  inventory  of  Products,  materials,  supplies  and other tangible assets of the Unit and an assignment of the lease for the Unit., Pretzel Time  shall  have the  unrestricted  right to assign  this  option to  purchase., If  Franchisee  (or its Owners)  shall at any time  determine to sell, assign or transfer for consideration  this Agreement or an Ownership Interest in Franchisee  or the Unit,  Franchisee  (or its Owners)  shall obtain a bona fide, executed  written offer and earnest  money deposit from a responsible  and fully disclosed purchaser (including lists of the Owners of record and beneficially of any corporate  offeror and all general and limited  partners of any  partnership offeror and, in the case of a publicly-held  corporation or limited partnership, copies of the most current annual and quarterly  reports) and shall  immediately submit to Pretzel  Time a true and  complete  copy of such  offer,  which  shall include  details of the payment  terms of the proposed  sale and the sources and terms of any financing for the proposed purchase price.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Rofr/Rofo/Rofn
17,"Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Franchisee shall                   furnish  Pretzel  Time at the  time of the  execution  of this                   Agreement or of assignment to the  corporation  or partners of                   Franchisee, a written agreement stating that no stockholder or                   partner  will  sell,  assign  or  transfer  voluntarily  or by                   operation  of law  any  securities  of  Franchisee,  or  other                   ownership  interest  in  Franchisee,  to any  person or entity                   other than existing shareholders or partnership, to the extent                   permitted  hereunder,  without  the prior  written  consent of                   Pretzel Time., If Franchisee desires to assign his rights under the Franchise to a new franchisee,  Franchisee  (Assignor of the  Franchise),  agrees to pay to Pretzel Time a transfer  fee equal to the  greater of SIX  THOUSAND  TWO  HUNDRED  FIFTY DOLLARS  ($6,250.00) or the then current  transfer fee being paid by franchisees upon the assignment, gift, bequeath or transfer of ownership of the Franchise to cover administrative costs and expenses., A Transfer shall also be deemed to include a merger or consolidation of Franchisee  with  any  other  entity,  the  issuance  of  additional  securities representing,  or convertible into, an Ownership  Interest in Franchisee and any Transfer as a result of death  (subject to this Section),  divorce,  insolvency, corporate or  partnership  dissolution  proceedings or otherwise by operation of law.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Change Of Control
18,Is consent or notice required of a party if the contract is assigned to a third party?,"Highlight the parts (if any) of this contract related to ""Anti-Assignment"" that should be reviewed by a lawyer. Details: Is consent or notice required of a party if the contract is assigned to a third party?","Any Transfer  without such approval shall constitute a breach of this Agreement  and shall be void and of no  effect., Accordingly, Franchisee agrees no Transfer shall be made without Pretzel Time's prior written approval.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Anti-Assignment
19,"Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?","Highlight the parts (if any) of this contract related to ""Revenue/Profit Sharing"" that should be reviewed by a lawyer. Details: Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?","Franchisee  agrees to pay on a weekly basis to Pretzel Time, as partial consideration  for the grant of the Franchise,  an  Advertising  Fund Fee of one percent  (1%) of Net revenues  for the  preceding  week as defined in Section 1., Franchisee,  in  partial  consideration  of the  grant of a  franchise, agrees to pay to Pretzel  Time a  continuing  Royalty of seven  percent  (7%) of Franchisee's  net  revenues  (as  defined  in  Section  1) on a weekly  basis as specified in this  Section;  provided  only 4% Royalty  shall be payable on TCBY frozen yogurt and other TCBY frozen yogurt products., As compensation for the management services provided,  Pretzel Time shall charge such fund ten  percent  (10%) of the  Unit's net  revenues  during the period of Pretzel Time's management.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Revenue/Profit Sharing
23,"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","If incorporated into the Pretzel Time System for the development and/or operation of Pretzel Time Units, such ideas, recipes, formulas, concepts, methods and techniques  shall become the sole and exclusive  property of Pretzel Time without any further consideration to Franchisee., Franchisee assigns to Pretzel  Time or its designee all of  Franchisee's  right,  title and interest  in and to any and  all  such  Promotional  Allowances  and  authorizes Pretzel  Time or its  designee to collect any such  Promotional  Allowances  for remission to the general operating funds of Pretzel Time.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Ip Ownership Assignment
25,Does the contract contain a license granted by one party to its counterparty?,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","Pretzel  Time hereby  grants to  Franchisee  and  Franchisee  agrees to undertake,  during the term of this  Agreement and upon the terms and conditions stated in this Agreement, the right, license and privilege to operate,  conduct,





and do business  and to use certain  trade  names,  trademarks,  service  marks, logos,  and other  commercial  symbols,  including  Pretzel Time (referred to as ""Marks"") solely and  exclusively for the operation of one retail  franchise Unit (referred to as ""Franchise""), which is in the form of a (Store/Kiosk/Cart),  and to sell  those  Products  known as  Pretzel  Time  pretzels  and  other  Pretzel Time-approved   menu  items  and  Products   further   described  in  Section  2 (hereinafter ""Products"") in accordance with the provisions of this Agreement and in accordance with rules,  standards,  systems,  and procedures as prescribed by Pretzel Time which may be changed,  improved and further  developed from time to time,  (hereinafter  ""Pretzel  Time  System""),  at one (1) location  only,  such location to be

 (hereinafter ""Site"")., Franchisee  agrees and grants to Pretzel Time and its Affiliates a perpetual and worldwide  right to use and  authorize  other  Pretzel  Time Units or other food service businesses  operated by Pretzel Time or its Affiliates,  franchisees and designees  to  use  such  ideas,  recipes,  formulas,   concepts,  methods,  and techniques  relating to the development  and/or  operation of a dessert or snack food business.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__License Grant
28,Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?","Franchisee  agrees and grants to Pretzel Time and its Affiliates a perpetual and worldwide  right to use and  authorize  other  Pretzel  Time Units or other food service businesses  operated by Pretzel Time or its Affiliates,  franchisees and designees  to  use  such  ideas,  recipes,  formulas,   concepts,  methods,  and techniques  relating to the development  and/or  operation of a dessert or snack food business.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Affiliate License-Licensee
30,Does the contract contain a  license grant that is irrevocable or perpetual?,"Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?","Franchisee  agrees and grants to Pretzel Time and its Affiliates a perpetual and worldwide  right to use and  authorize  other  Pretzel  Time Units or other food service businesses  operated by Pretzel Time or its Affiliates,  franchisees and designees  to  use  such  ideas,  recipes,  formulas,   concepts,  methods,  and techniques  relating to the development  and/or  operation of a dessert or snack food business.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Irrevocable Or Perpetual License
32,"Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","Franchisee agrees to return all materials and supplies identified by the Marks in full cases or  packages  to Pretzel  Time for credit and dispose of all other materials and supplies, but not equipment,  identified by the Marks within thirty (30) days after the effective  date of  termination or expiration of this Agreement., Franchisee  agrees to notify the  telephone  company and all  telephone directory  publishers of the termination or expiration of Franchisee's  right to use any  telephone  and telecopy  numbers and any regular,  classified  or other telephone  directory  listings  associated  with any Mark and to  authorize  the transfer  thereof to Pretzel Time or at its direction., Upon  termination of this Agreement by Pretzel Time in accordance  with its terms and  conditions or by Franchisee  without cause or upon  expiration of this  Agreement  (unless the franchise  has been  renewed),  Pretzel  Time,  its Affiliates  or  its  assignee  shall  have  the  option  (not  the  obligation), exercisable  by giving  written  notice  thereof within sixty (60) days from the date of such  expiration  or  termination,  to acquire from  Franchisee  all the assets  in the Unit  including  the  equipment,  furnishings,  signs,  leasehold improvements,  usable  inventory  of  Products,  materials,  supplies  and other tangible assets of the Unit and an assignment of the lease for the Unit., Upon  termination of this  Agreement,  in accordance with its terms and conditions or by Franchisee  without cause, or upon expiration of this Agreement (unless the Franchise is renewed as provided for in this Agreement),  Franchisee and its Owners agree that for a period of TWELVE (12) months  commencing  on the effective  date of  termination  or expiration  or the date on which  Franchisee complies  with this Section,  whichever is later,  neither  Franchisee,  nor its Owners,  nor any person or entity  affiliated  with  Franchisee or  Franchisee's shareholders or partners shall have any direct or indirect  interest  (through a member of the immediate  families of Franchisee or its Owners or otherwise) as a disclosed or beneficial owner, investor,  partner, director,  officer, employee, consultant,  representative,  agent or in any other capacity in any  Competitive Business  located or operating:  (1) at the Site;  (2) within three (3) miles of the Unit;  and/or (3) within  three (3) miles of any other  Pretzel Time Unit in operation  or  under  development  on  the  effective  date  of  termination  or expiration of this  agreement for a period of one year after the  termination or expiration.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Post-Termination Services
